feature,importance
lst_team1_home_general_sca,0.0028182648
lst_team1_away_general_poss,0.0028166275
lst_team2_home_general_offensive_index,0.0028121825
lst_team2_away_form_var_ck,0.002795088
lst_team2_home_form_offensive_index,0.002794535
lst_team1_away_general_carry_pass_balance,0.0027681666
lst_team1_away_general_gf,0.0027576482
lst_team2_away_general_ga,0.002749052
lst_team1_away_general_creative_efficiency,0.0027366069
lst_team2_home_general_sca,0.0027272003
lst_team1_home_general_final_third_involvement,0.002721791
lst_team1_home_general_attacking_presence,0.0027209667
lst_team2_home_form_interception_tackle,0.0027150048
lst_team1_home_form_gf,0.0027119757
lst_team2_away_general_xg,0.002705929
lst_team2_home_form_avg_ck,0.00270368
lst_team1_away_form_interception_tackle,0.0026969556
lst_team1_home_general_att_3rd,0.0026651812
lst_team2_away_form_interception_tackle,0.0026542563
lst_team2_h2h_offensive_index,0.0026277953
lst_team1_away_general_sca,0.002622388
lst_team1_away_general_offensive_index,0.0026158788
lst_team2_home_form_clearance_ratio,0.002591894
lst_team1_opp_away_avg_ck,0.0025847547
lst_team1_home_general_assist_sca,0.0025803333
lst_team2_h2h_xg,0.0025660023
lst_team2_home_form_sh_accuracy,0.0025617091
lst_team2_away_form_avg_ck,0.0025439637
lst_team2_home_form_progressive_pass_ratio,0.0025376338
lst_team1_opp_away_att_3rd,0.0025333865
lst_team2_away_general_interception_tackle,0.0025236746
lst_team2_home_form_xg,0.0025217305
lst_team1_home_general_xg,0.0024853207
lst_team2_home_general_gf,0.002451954
lst_team2_away_form_creative_efficiency,0.0024475104
lst_team1_home_form_xg,0.002416573
lst_team2_away_form_sca,0.0024160568
lst_team2_home_form_final_third_involvement,0.0023921698
lst_team2_home_general_final_third_involvement,0.002390049
lst_team2_away_form_offensive_index,0.0023790973
ppp_local,0.0023557458
lst_team1_opp_away_var_ck,0.0023512312
lst_team2_home_form_var_ck,0.0023384069
lst_team2_h2h_sh_accuracy,0.0023327481
lst_team2_home_form_gf,0.002314885
lst_team2_away_general_progressive_pass_ratio,0.0023119324
lst_team1_away_form_carry_pass_balance,0.0022730588
lst_team2_home_form_carry_pass_balance,0.0022562735
lst_team1_away_form_high_press_intensity,0.0022459095
lst_team1_home_general_poss,0.002237268
lst_team2_h2h_carry_pass_balance,0.0022075735
lst_team1_away_form_sca,0.002184579
lst_team1_home_form_sca,0.0021676524
lst_team2_away_form_clearance_ratio,0.002155302
lst_team1_away_general_progressive_pass_ratio,0.002120891
lst_team2_home_general_interception_tackle,0.0020250943
lst_team1_away_form_avg_ck,0.0020077063
lst_team2_away_general_gf,0.0019252838
lst_team1_home_form_xg_shot,0.0019092858
lst_team1_home_form_avg_ck,0.0019078497
lst_team2_h2h_xg_shot,0.0018483469
lst_team2_away_form_poss,0.0018285164
lst_team2_home_general_assist_sca,0.0018224098
lst_team1_home_general_cross,0.0018037335
lst_team1_home_general_avg_ck,0.001723891
league_ITA,0.0016558928
lst_team1_home_form_sh_accuracy,0.0016306835
lst_team2_away_form_high_press_intensity,0.0015960771
lst_team1_home_form_poss,0.0015886603
lst_team2_home_general_poss,0.00082701904
lst_team2_opp_home_att_3rd,0.0
lst_team1_opp_away_ga,0.0
lst_team2_opp_home_avg_ck,0.0
lst_team1_away_general_transition_index,0.0
league_GER,0.0
league_NED,0.0
league_BEL,0.0
