Equipo,Partidos,Media_CK,Mediana_CK,Std_CK,CV_%,Pct_Cerca_Media,Cambios_Bruscos_%,IQR,Rango,Rango_Norm,Min,Max,Outliers,Pct_Outliers,Max_ZScore,Tendencia_Slope,Autocorr,Score_Fiabilidad,Nivel,Color
Groningen,10,4.8,5.0,1.99,41.5,60.0,0.0,3.5,6,1.25,1,7,0,0.0,1.91,0.521,0.243,63.8,BUENO ✅,#2ecc71
RB Leipzig,9,5.78,5.0,2.57,44.5,55.6,0.0,3.0,8,1.38,3,11,0,0.0,2.03,-0.15,0.507,61.4,BUENO ✅,#2ecc71
Werder Bremen,9,3.0,3.0,1.83,60.9,77.8,12.5,2.0,6,2.0,0,6,0,0.0,1.64,0.0,-0.478,61.3,BUENO ✅,#2ecc71
Osasuna,10,2.4,2.5,1.69,70.2,60.0,0.0,1.75,5,2.08,0,5,0,0.0,1.54,0.218,-0.264,61.2,BUENO ✅,#2ecc71
Sunderland,9,3.33,3.0,1.41,42.4,77.8,0.0,1.0,5,1.5,1,6,2,22.2,1.89,-0.3,0.329,61.1,BUENO ✅,#2ecc71
Atlético Madrid,11,6.27,6.0,2.26,36.0,54.5,10.0,3.5,7,1.12,3,10,0,0.0,1.65,-0.045,-0.173,60.8,BUENO ✅,#2ecc71
Mallorca,10,3.8,3.0,2.04,53.7,90.0,11.1,2.5,7,1.84,2,9,1,10.0,2.55,-0.121,0.091,60.6,BUENO ✅,#2ecc71
Ajax,11,5.73,5.0,2.67,46.5,54.5,0.0,3.0,9,1.57,1,10,0,0.0,1.77,-0.664,0.6,60.1,BUENO ✅,#2ecc71
Sassuolo,9,3.44,3.0,1.95,56.6,55.6,0.0,2.0,6,1.74,1,7,0,0.0,1.82,0.517,0.597,59.7,BUENO ✅,#2ecc71
West Ham,9,5.44,6.0,1.95,35.8,66.7,25.0,3.0,6,1.1,2,8,0,0.0,1.77,-0.333,-0.355,59.1,BUENO ✅,#2ecc71
Cremonese,10,2.7,2.5,1.35,49.8,80.0,0.0,1.0,4,1.48,1,5,2,20.0,1.71,-0.03,-0.709,59.1,BUENO ✅,#2ecc71
Newcastle Utd,9,5.78,6.0,2.1,36.3,66.7,25.0,3.0,7,1.21,2,9,0,0.0,1.8,-0.217,-0.477,58.9,BUENO ✅,#2ecc71
Le Havre,10,4.0,4.5,2.14,53.6,70.0,11.1,2.75,7,1.75,0,7,0,0.0,1.87,0.0,-0.154,58.8,BUENO ✅,#2ecc71
Lorient,10,3.0,3.0,1.95,65.0,70.0,11.1,2.75,6,2.0,0,6,0,0.0,1.54,0.061,0.104,58.8,BUENO ✅,#2ecc71
Rennes,10,5.2,5.5,2.32,44.5,60.0,11.1,3.0,7,1.35,1,8,0,0.0,1.81,0.57,0.196,58.3,BUENO ✅,#2ecc71
Union Berlin,9,5.22,5.0,1.99,38.1,77.8,12.5,1.0,8,1.53,1,9,2,22.2,2.12,-0.05,-0.352,58.3,BUENO ✅,#2ecc71
Parma,9,3.11,3.0,1.79,57.6,66.7,12.5,2.0,6,1.93,0,6,0,0.0,1.74,-0.317,-0.497,58.0,BUENO ✅,#2ecc71
Como,10,3.3,3.5,1.85,56.0,60.0,11.1,1.75,6,1.82,0,6,0,0.0,1.79,-0.297,-0.138,56.8,BUENO ✅,#2ecc71
Getafe,11,4.18,4.0,2.08,49.8,63.6,10.0,3.5,7,1.67,1,8,0,0.0,1.83,0.236,-0.037,56.7,BUENO ✅,#2ecc71
Sparta R'dam,10,3.5,4.0,1.96,56.1,50.0,0.0,3.75,5,1.43,1,6,0,0.0,1.27,0.212,0.425,56.2,BUENO ✅,#2ecc71
Villarreal,11,5.0,5.0,2.63,52.6,72.7,20.0,3.5,10,2.0,0,10,0,0.0,1.9,-0.491,0.017,55.3,BUENO ✅,#2ecc71
Metz,10,4.0,4.0,1.9,47.4,80.0,22.2,1.75,7,1.75,1,8,1,10.0,2.11,0.0,-0.64,55.1,BUENO ✅,#2ecc71
Fiorentina,9,4.11,3.0,1.91,46.5,66.7,25.0,2.0,6,1.46,2,8,0,0.0,2.03,0.15,-0.502,54.8,ACEPTABLE 🟡,#f39c12
Paris S-G,11,6.64,7.0,2.74,41.3,54.5,20.0,3.0,9,1.36,3,12,0,0.0,1.96,0.055,0.432,54.7,ACEPTABLE 🟡,#f39c12
